,index,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
0,36727,gdb_36728,C#CCCC1CCOC1,5.49143,0.66895,0.62148,1.3066,84.81,-0.2428,0.0526,0.2954,1781.5968,0.182117,-387.063907,-387.054248,-387.053303,-387.099926,34.713
1,115927,gdb_115928,COC1CCC2OC2C1,3.54789,1.10474,0.93308,2.4615,78.34,-0.2495,0.0815,0.3311,1304.8075,0.18352,-424.216477,-424.207889,-424.206944,-424.249941,32.728
2,768,gdb_769,c1(n[nH]nn1)N,10.01649,3.90958,2.81885,2.3205,40.14,-0.2385,-0.0191,0.2194,425.7517,0.064539,-313.573888,-313.56915,-313.568206,-313.6017,16.955
3,109356,gdb_109357,CCC1=CCCCC1=O,2.66373,1.30548,0.95984,3.196,86.47,-0.2348,-0.0435,0.1913,1296.1131,0.183451,-387.144636,-387.135668,-387.134724,-387.178491,33.917
4,93460,gdb_93461,CN1CCC(=N)OC1=O,2.9919,1.44371,1.01488,4.1212,71.99,-0.2579,-0.0018,0.2562,1143.1487,0.137285,-455.20531,-455.196896,-455.195952,-455.238888,30.401
5,126569,gdb_126570,CCCc1cc(on1)C,4.95118,0.75968,0.69442,2.9851,83.28,-0.2465,0.0003,0.2468,1693.6625,0.170167,-403.168524,-403.158963,-403.158019,-403.203977,34.068
6,38954,gdb_38955,C1C2CC3COCC3C12,2.99436,1.5823,1.30939,1.7225,79.66,-0.2433,0.0717,0.315,1040.9237,0.18688,-387.093576,-387.086435,-387.085491,-387.125089,29.42
7,33421,gdb_33422,C#CC(CC1CO1)C#N,2.86123,1.04749,0.80778,5.3092,75.15,-0.2793,0.0123,0.2916,1370.3815,0.122001,-400.693633,-400.684435,-400.683491,-400.728664,32.446
8,92501,gdb_92502,CC1CC2OCC2(C)O1,2.44719,1.61776,1.41237,1.0447,77.47,-0.2458,0.0779,0.3237,1062.0987,0.182509,-424.22883,-424.220293,-424.219349,-424.261498,33.465
9,101912,gdb_101913,CC(=O)C(CO)N1CC1,1.94983,1.41252,1.08132,3.4108,75.95,-0.2399,-0.0131,0.2268,1227.2592,0.168774,-440.264664,-440.25477,-440.253826,-440.300106,35.654
10,130817,gdb_130818,c1cn[nH]c1C(=O)C=O,3.22542,1.38773,0.97027,0.2403,69.27,-0.2677,-0.114,0.1536,1102.9006,0.090447,-452.784603,-452.77725,-452.776306,-452.81701,26.242
